5000 20000
4992 828 46
713 2770 59
1750 319 58
2808 1656 10
2249 2033 5
710 41 47
3506 4726 32
1600 3278 58
1540 4675 41
1396 1086 39
283 4898 66
2454 4227 98
1099 2638 36
3662 624 22
3225 1299 86
4910 4494 45
3593 1224 31
4104 4451 96
1396 1873 18
1691 2387 47
2788 2712 61
1211 2577 72
197 3366 78
3971 3645 99
918 2258 44
218 3484 95
2322 4072 71
4675 1424 44
4533 946 98
3940 3540 37
3441 3112 9
3061 3645 1
2421 4411 40
4423 415 1
1200 3885 12
365 2010 40
4192 1885 22
1161 3117 50
4731 960 45
1452 3496 48
1847 3696 71
4776 2339 38
4431 4392 29
2845 3746 50
811 4630 21
414 4572 3
2198 3204 78
2202 4206 58
2088 11 55
882 380 6
981 1327 83
4739 2747 74
2323 531 78
1094 1267 22
49 3765 58
2084 4877 48
4886 3761 25
4843 1389 53
278 85 82
3828 123 99
4976 4948 81
2119 2732 8
2887 94 6
4504 4560 55
704 226 92
3944 4961 30
810 4675 52
2210 403 37
1102 3514 39
4070 4490 56
1747 1684 99
2649 3377 79
734 3396 49
846 2384 69
4586 3024 63
362 2788 62
4680 3189 52
1082 3984 44
287 2766 28
131 1402 41
2844 1093 56
4672 2838 20
1764 4907 55
2929 403 80
2632 3150 73
221 2074 41
3553 4763 7
1049 1174 42
1712 378 35
4464 4521 23
3999 618 56
1453 2475 65
4806 3545 18
3242 1978 75
1294 934 33
3338 953 89
3937 3262 96
4144 1694 23
4957 721 44
2264 111 19
1639 455 48
2912 177 39
1685 172 40
543 1994 41
1230 2101 77
4558 1975 68
975 4830 16
1398 2120 54
4414 4785 79
2144 3599 99
1672 1029 16
4950 1008 81
2585 1632 97
2000 1215 60
1976 4418 66
3415 1724 22
3615 4290 79
1530 853 4
727 3591 51
3363 758 71
717 2592 91
4207 2640 69
2313 4955 21
1020 4429 66
3752 1820 12
363 828 59
749 4162 17
83 1587 16
3119 2758 66
4154 1824 31
4665 2207 85
1210 2123 53
2979 3075 86
4554 3404 34
4247 4167 82
1271 3533 15
3280 1831 38
3190 4131 35
2244 2680 89
4157 1565 37
2761 483 96
4073 4970 19
2816 759 73
3312 2629 60
1840 971 65
1211 1483 83
167 2152 5
2292 4632 83
1696 4306 65
1406 1985 87
4809 2337 92
964 1661 10
3977 2641 29
3608 3981 64
1134 286 38
1191 1614 47
791 4144 46
50 4443 27
2985 1681 56
1366 4206 46
3017 186 16
4803 1319 66
2619 2533 66
794 2270 75
1734 2816 21
2174 3759 51
1101 704 53
2025 496 18
3678 1546 83
4945 2015 63
3169 1347 39
4645 2814 61
1082 2192 38
3215 3261 16
2503 666 19
2328 3018 69
2621 3946 10
856 120 88
866 2377 24
1597 654 81
1211 1339 64
651 1593 13
3955 2516 75
2902 1380 48
283 3749 49
292 2660 85
1171 2326 42
4649 2682 61
3645 503 97
4083 1662 24
1645 1546 74
2512 3630 88
1622 3930 38
1300 2159 43
3481 4626 45
3982 2936 82
3968 3438 52
1992 811 12
2003 4680 81
3496 1501 40
4059 3159 76
3626 1356 56
3071 4244 43
1516 751 32
2425 717 84
1510 1227 63
2957 3114 6
927 1115 16
814 1751 42
4190 4056 32
3882 931 16
2651 553 16
4124 1995 64
875 2166 55
4714 3167 29
3923 2743 71
549 132 66
4975 4613 32
3882 2516 2
4286 3108 98
3007 2408 55
3047 432 41
1911 2571 11
3618 4977 68
3605 810 76
4652 1014 46
3194 1950 84
2483 950 51
4508 3987 21
3909 4102 14
3285 515 10
122 4884 18
1712 4337 8
2135 3928 1
2484 3064 38
3442 2346 29
4957 559 35
4658 3239 38
4893 494 53
4352 181 12
2918 162 5
1722 2466 39
109 2377 7
2548 4966 42
308 195 51
2526 4514 91
4487 3871 26
742 9 9
2811 3589 73
2542 4161 97
1167 4850 92
2969 1733 18
4003 2725 30
2484 870 78
4154 2401 42
4514 181 31
1432 4477 84
1608 3402 66
87 707 22
2672 3066 62
2188 1890 66
433 3095 49
3805 1691 5
2530 132 25
663 4447 24
4300 1235 79
3098 1639 66
1262 2700 10
3037 3987 18
4057 4049 80
103 2944 44
3288 1648 91
3342 2605 21
1546 2759 74
1938 3439 55
1610 2304 20
4209 1607 60
2250 2356 24
3606 3336 39
2334 4466 89
4625 83 84
3874 2429 35
4936 3075 63
3190 24 34
1826 386 86
2000 4533 13
2977 1984 87
3175 3572 61
1100 1452 43
3457 4761 49
2707 2656 86
0 357 86
2955 1961 51
3008 2520 59
1902 103 39
4793 1765 88
330 2268 30
4495 234 17
3890 4218 89
4289 2020 44
1122 2111 71
4579 409 67
3401 2453 26
4512 4070 15
1698 3502 68
1768 220 33
3832 4016 77
1938 4870 58
1318 329 84
801 387 97
3458 2610 18
1261 3523 78
967 3848 91
1438 1898 45
947 155 53
85 2308 61
81 2114 25
1603 4899 23
1377 3805 48
1398 4080 49
3789 384 13
2003 391 90
1979 1966 28
3634 4552 94
3302 3323 48
2590 4004 52
1989 2957 81
920 235 72
3457 1611 34
3154 3662 73
3104 4539 40
2013 1001 66
701 4595 39
1819 755 83
1108 990 31
3213 4632 24
46 3066 13
975 1873 20
535 2585 31
1949 3837 13
745 1909 35
2061 2825 33
3536 207 52
2649 4706 20
4089 3604 33
2047 951 53
3833 3377 62
641 610 76
558 1491 89
4962 3401 16
4819 4841 77
4574 1945 3
1965 3935 76
2344 4953 48
1414 1445 66
3801 3483 15
4911 4031 75
405 1829 41
1721 2215 39
561 4611 80
2321 2302 5
4237 1658 44
68 2364 73
3533 1793 100
2236 1374 37
2544 4400 47
2788 3025 83
178 2035 31
4402 2802 78
681 667 32
1125 1163 69
4475 4755 41
4287 2156 17
2860 782 3
1888 3764 42
2262 4202 60
621 1344 76
2943 2719 90
1618 2518 30
4738 4916 54
92 4728 85
2754 4288 42
3203 2380 24
4228 1691 96
3404 2409 59
3206 3251 46
1523 1633 71
4883 1355 95
798 4619 15
2163 945 100
3332 3135 41
44 3759 6
3626 3174 80
1330 1612 58
2217 3838 58
2005 2578 62
1296 2870 47
1299 4154 62
77 1024 11
1038 2768 77
1032 3642 26
2354 3364 70
3271 3341 65
947 2510 36
2334 705 83
2917 145 94
474 926 81
179 3464 49
2516 4616 57
2929 1166 70
2832 886 8
4482 1767 98
1031 1030 81
1538 2610 18
1384 4130 88
2889 4208 23
4644 68 69
3650 2187 61
329 2909 60
4811 4798 69
3384 4507 30
3528 707 40
2086 537 83
4226 4185 93
1181 4726 3
2496 1561 60
966 1903 18
3936 2131 55
740 4620 35
977 3678 24
740 3116 14
4245 1340 83
2206 122 89
249 2326 98
4126 1679 68
330 1084 14
418 1719 54
2454 4752 4
2526 4698 48
2809 4569 51
2404 4822 84
1632 2044 43
1669 455 13
3825 77 28
3707 3518 71
18 998 79
4381 4048 70
1976 1503 58
2308 3454 95
3797 4744 55
2175 4417 13
2465 4622 6
1657 2596 91
3166 2502 92
2758 3503 44
1136 4056 28
1308 1875 71
4723 1485 9
1656 1028 24
1437 1753 40
1535 1128 80
2607 185 31
1425 3005 41
3962 3621 79
3366 123 19
371 3199 9
3577 1631 49
3345 2908 4
1364 4322 13
141 1138 48
2231 2793 6
2372 4708 12
3096 3581 24
1298 101 70
93 4355 23
4256 716 70
746 2956 56
786 1777 33
1863 2024 65
4758 3708 13
4490 2426 72
3247 4953 38
779 2591 28
2658 3350 92
420 988 77
3042 1576 73
2556 2401 31
4629 3739 100
4503 1512 73
3629 1005 84
3368 4763 38
2703 2264 63
4487 12 50
3381 2650 89
1405 3264 67
2014 3428 95
1208 4676 59
3456 140 10
207 4258 39
1296 1761 47
2912 226 98
2859 411 19
4362 2935 6
362 2187 92
3865 2660 76
1299 4556 99
2153 671 49
2765 2554 20
3921 4921 23
3540 4906 5
721 1115 5
1923 4676 97
1261 4065 66
349 2728 30
1878 4806 95
354 200 85
1397 2681 32
700 1629 56
2066 4593 16
3003 504 16
3597 2461 75
275 1959 42
2032 3661 60
1931 1186 65
3254 625 74
4180 3047 14
2125 703 23
2008 3919 9
3063 4651 31
1704 877 19
4005 4217 94
1031 3861 52
1232 4047 71
2721 2276 5
680 259 91
271 3789 12
4761 2077 14
872 4752 87
4207 2506 20
408 1084 48
18 1858 79
4392 3739 40
47 1987 39
43 758 53
4845 3924 30
2853 4624 8
4183 1770 50
2215 2164 8
2020 1407 71
4624 4525 46
1418 2154 14
2707 4257 73
2194 4444 80
2318 1174 2
3845 4370 88
4889 603 46
928 3611 49
4301 815 71
891 4674 6
3551 2222 33
3773 2980 74
138 3669 100
992 3521 93
597 1537 32
956 4239 76
4202 4311 54
68 1181 71
2267 1548 31
3211 1332 49
1496 1322 2
626 2344 55
994 3015 26
3583 2070 75
1423 577 75
2448 2973 35
1052 1087 90
4577 539 47
3513 2967 17
2874 3732 60
1675 2087 72
4596 364 84
1303 1955 14
2103 640 75
2628 2493 23
1907 4074 98
3600 4057 17
515 2628 20
1043 1496 79
956 1733 29
724 122 65
677 4130 54
2646 4866 65
3963 1666 41
1501 1832 75
647 3838 42
2664 1158 50
1595 1682 32
1429 2907 32
222 1234 84
3059 1288 37
3184 2629 8
1739 2066 4
913 2522 54
4928 2604 5
1108 2440 7
1640 1290 10
4801 3889 30
489 2198 14
3816 2216 87
1013 2838 100
4590 4307 57
1087 1991 11
4750 3237 64
3751 4680 41
1490 2821 35
1224 566 26
1581 1592 32
271 3726 11
763 1977 17
1817 3194 80
4587 3868 26
2134 1083 6
2293 4264 81
4738 3421 18
1773 4494 59
1982 2523 27
3275 2015 59
4964 2758 58
3473 3480 43
3508 2362 95
