19000 30000
10469 9605 9
13173 13510 16
14492 11124 8
1911 2614 1
1084 6625 6
17929 2834 10
10669 16576 16
18852 4266 11
8826 17082 1
16422 13981 3
1933 11403 15
10904 5939 18
9859 8314 7
14258 12260 3
14699 12199 2
4084 17005 7
2066 15654 4
2504 13208 7
12914 18200 7
15220 17131 8
3291 5061 12
3049 11522 15
18445 7586 5
802 10326 16
5967 9149 1
17900 5911 5
2453 344 4
3967 17104 8
4216 9649 15
2733 13986 13
1339 10021 19
12818 9238 9
3374 801 14
5310 8777 19
3602 17378 8
11294 18683 20
1424 13357 10
16867 14149 8
16049 16772 9
17330 9874 8
7919 16051 16
17615 18928 8
3413 15744 9
6982 18617 2
12119 385 19
920 12635 18
7447 11643 9
11604 16595 4
12150 1084 12
16770 12497 4
12867 16150 9
685 15462 14
12071 3242 4
16222 13011 16
2531 18914 12
7662 12748 20
15598 7134 10
10489 18260 1
6502 5299 5
11210 3569 1
164 16127 17
12109 7708 2
4275 13005 11
3177 15427 14
13487 6170 3
4225 14605 20
17846 9581 6
12925 14744 17
18032 8330 18
15841 7293 17
14180 6063 8
17549 2107 20
12611 16063 8
843 4592 7
13969 18135 10
1702 13995 14
16881 7537 13
7568 6943 19
16484 4758 4
9215 824 19
9993 9986 16
7411 7462 18
13962 476 17
623 12313 6
14787 12628 3
9455 4320 15
5965 1708 6
10400 17408 13
16331 5413 13
15391 9885 19
13849 10087 16
12526 11027 3
12729 5416 20
4091 15055 15
12815 12883 12
11304 18411 18
10648 18958 10
10757 10175 6
5741 639 1
9791 11837 9
9458 10658 19
3106 9137 3
12527 9178 8
4462 14290 16
8511 16328 10
13628 9410 1
14864 10807 2
7345 3514 18
1786 10878 17
5989 17756 20
1702 2709 10
2594 16666 5
728 15980 3
10249 519 9
8755 9439 2
5471 9179 19
14001 4732 6
4395 988 13
3719 875 18
18347 6338 18
7200 3773 17
13414 968 19
10679 3941 16
18855 13419 13
11922 1436 13
8046 13654 14
118 2 5
13912 9538 20
11987 17410 4
13306 2448 5
2023 5369 11
5660 15990 6
8124 12373 18
7479 10201 18
11063 7466 15
4385 3643 19
18291 17102 11
6708 9289 14
13429 1199 5
18774 9910 4
4385 18306 15
13572 5163 8
15390 14254 8
13516 6404 1
4149 18447 1
18281 3811 4
9700 8664 15
10389 17555 20
14412 15320 5
12621 14265 1
16388 15901 7
12350 1750 19
15711 10363 6
17520 496 15
16458 5689 6
5024 1767 7
4357 2790 8
11507 13900 2
